TABNAME	TCODE	LIFNR	MATNR	ZZMAKER	ZZJSQI	ZZKUBUN	ZZJAPAN	ZZRM_ORIGIN	ZZCATEGORY	ZZPACKING_TYPE	ZZPACKING_SIZE	ZZPACKING_UNIT	ZZINCI_NAME
	ME12	C000002	91100423600	Sakai Chemical Industry Co.,Ltd.	Y	4	04236	JP	Powders	BAG	10	KG	ZINC OXIDE
	ME12	C000002	91100477200	Yamaguchi mica co., LTD.	Y	4	04772	JP	Powders	BAG	20	KG	Calcium monohydrogen orthophosphate
	ME12	C000002	91100542400	CLARIANT	Y	4	05424	JP	Powders	BOX	40	KG	Aluminum Hydroxy Chloride
	ME12	C000002	91100645300	Osaka Kasei Co., Ltd.	Y	4	06453	JP	Actives	BOX	8	KG	3-methyl-4-isopropylphenol
	ME12	C000002	91100999100	Sekihira Kosen	Y	4	09991	JP	Actives	BOTTLE	2	KG	Aqua (Water)
	ME12	C000002	91100149600	Momentive Performance Materials Japan LLC	Y	4	01496	JP	Silicones	BOTTLE	1	KG	Silicone compound
	ME12	C000002	91100137600	NUCERA SOLUTIONS LLC	Y	4	01376	US	Wax & Oils	BAG	25	KG	POLYETHYLENE
	ME12	C000002	91100625100	ZHEJIANG NHU COMPANY LTD	Y	4	06251	JP	Actives	BOTTLE	5	KG	TOCOPHERYL ACETATE
	ME12	C000002	91100919900	KUNIMINE INDUSTRIES CO., LTD	Y	4	09199	JP	Surfactant	CAN	10	KG	BENTONITE
	ME12	C000002	91100119600	PRESPERSE	Y	4	01196	DE	Wax & Oils	DRUM	160	KG	ISOHEXDECANE
	ME12	C000002	91100155900	DOW TORAY CO., LTD.	Y	4	01559	JP	Silicones	CAN	18	KG	PEG-10 METHYL ETHER DIMETHICONE / TOCOPHEROL
	ME12	C000002	91100177400	NEW JAPAN CHEMICAL CO.,LTD	N	4	01774	JP	Oleo Chemical	CAN	15	KG	OCTYLDODECANOL
	ME12	C000002	91100187300	Mitsubishi Corporation Life Sciences Limited	Y	4	01873	JP	Alcohol and Polyols	CAN	24	KG	MALTITOL / WATER
	ME12	C000002	91100188101	Danisco Sweeteners Oy Kotka Finland	Y	4	01881	FI	Alcohol and Polyols	BAG	25	KG	D-Xylose
	ME12	C000002	91100196600	SANYO CHEMICAL INDUSTRIES,LTD	Y	4	01966	JP	Surfactant	BAG	15	KG	Ethylene Oxide
	ME12	C000002	91100197600	SANYO CHEMICAL INDUSTRIES,LTD	Y	4	01976	JP	Alcohol and Polyols	CAN	18	KG	PPG-17 / BHT
	ME12	C000002	91100258100	KAWAKEN FINE CHEMICALS	N	4	02581	JP	Oleo Chemical	BAG	20	KG	12-Hydroxystearic acid
	ME12	C000002	91100333500	NOF CORPORATION	Y	4	03335	JP	Surfactant	CAN	17	KG	PPG-13-DECYLTETRADECETH-24  / TOCOPHEROL
	ME12	C000002	91100392800	SANYO CHEMICAL INDUSTRIES,LTD	Y	4	03928	JP	Surfactant	DRUM	180	KG	LAURYL BETAINE
	ME12	C000002	91100436300	EVONIK INDUSTRIES AG	Y	4	04363	JP	Powders	BAG	5	KG	SILICA
	ME12	C000002	91100441301	Fuji Talc Industry Co., Ltd	Y	4	04413	JP	Powders	BAG	15	KG	TALC
	ME12	C000002	91100461200	FUJI SILYSIA CHEMICAL	Y	4	04612	JP	Powders	BAG	10	KG	SILICA
	ME12	C000002	91100491300	ADEKA CORPORATION	Y	4	04913	JP	Polymers	BAG	20	KG	PEG-240 / HDI COPOLYMER BIS-DECYLTETRADECETH-20 ETHER / BHT
	ME12	C010194	91100491900	LUBRIZOL ADVANCED MATERIALS, INC 	Y	2	04919	BE	Polymers	CAN	20	KG	CARBOMER
	ME12	C000002	91100514100	UBE Corporation	Y	4	05141	JP	Actives	CAN	20	KG	and the other acrylics
	ME12	C000002	91100526800	Advancion Corporation	Y	4	05268	DE	Actives	CAN	18	KG	2-AMINO-2-METHYL-1-PROPANOL
	ME12	C000002	91100538400	NISSAN CHEMICAL INDUSTRIES, LTD	Y	4	05384	JP	Actives	BAG	25	KG	SODIUM METABISULFITE
	ME12	C000002	91100547300	KOKUSAN CHEMICAL CO.,LTD	Y	4	05473	JP	Actives	BOX	25	KG	SODIUM METAPHOSPHATE
